bedrooms,bathrooms,toilets,parking_space,house_type,town,state,price
5.0,5.0,6.0,5.0,Detached Duplex,Ikeja,Lagos,125000000.0
5.0,6.0,7.0,6.0,Detached Duplex,Lekki,Lagos,110000000.0
5.0,5.0,5.0,8.0,Detached Duplex,Isolo,Lagos,52000000.0
4.0,4.0,4.0,4.0,Semi Detached Duplex,Magodo,Lagos,75000000.0
3.0,5.0,4.0,4.0,Detached Duplex,Ikeja,Lagos,130000000.0
1.0,4.0,4.0,4.0,Detached Duplex,Surulere,Lagos,50000000.0
3.0,3.0,4.0,2.0,Block of Flats,Ikoyi,Lagos,190000000.0
5.0,5.0,6.0,4.0,Detached Duplex,Lekki,Lagos,125000000.0
5.0,5.0,6.0,3.0,Detached Duplex,Lekki,Lagos,120000000.0
5.0,5.0,6.0,4.0,Detached Duplex,Ajah,Lagos,60000000.0
4.0,4.0,5.0,4.0,Detached Duplex,Isolo,Lagos,55000000.0
3.0,5.0,5.0,4.0,Block of Flats,Obio-Akpor,Rivers,100000000.0
5.0,5.0,6.0,5.0,Detached Duplex,Port Harcourt,Rivers,180000000.0
5.0,6.0,7.0,4.0,Detached Duplex,Ajah,Lagos,55000000.0
4.0,5.0,5.0,4.0,Terraced Duplexes,Life Camp,Abuja,75000000.0
5.0,5.0,6.0,4.0,Detached Duplex,Lekki,Lagos,65000000.0
5.0,5.0,5.0,4.0,Detached Duplex,Lekki,Lagos,150000000.0
4.0,5.0,5.0,3.0,Terraced Duplexes,Lekki,Lagos,55000000.0
3.0,4.0,5.0,4.0,Block of Flats,Wuye,Abuja,250000000.0
5.0,7.0,7.0,4.0,Detached Duplex,Lekki,Lagos,80000000.0
4.0,4.0,5.0,4.0,Detached Duplex,Enugu,Enugu,65000000.0
4.0,5.0,5.0,4.0,Block of Flats,Port Harcourt,Rivers,70000000.0
4.0,4.0,5.0,4.0,Detached Duplex,Lekki,Lagos,67000000.0
5.0,5.0,6.0,6.0,Detached Duplex,Lekki,Lagos,200000000.0
5.0,6.0,6.0,4.0,Detached Duplex,Life Camp,Abuja,35000000.0
4.0,4.0,5.0,4.0,Terraced Duplexes,Lekki,Lagos,60000000.0
4.0,4.0,5.0,4.0,Semi Detached Duplex,Lekki,Lagos,60000000.0
5.0,5.0,5.0,4.0,Detached Duplex,Ikeja,Lagos,125000000.0
5.0,4.0,5.0,4.0,Detached Duplex,Gwarinpa,Abuja,140000000.0
4.0,4.0,5.0,4.0,Terraced Duplexes,Lekki,Lagos,62000000.0
3.0,3.0,4.0,4.0,Detached Bungalow,Gwarinpa,Abuja,70000000.0
3.0,6.0,4.0,6.0,Detached Bungalow,Lokogoma District,Abuja,50000000.0
4.0,4.0,4.0,2.0,Terraced Duplexes,Ikoyi,Lagos,200000000.0
4.0,4.0,5.0,5.0,Semi Detached Duplex,Katampe,Abuja,160000000.0
9.0,9.0,1.0,1.0,Detached Duplex,Isolo,Lagos,70000000.0
5.0,5.0,5.0,2.0,Detached Duplex,Lekki,Lagos,110000000.0
5.0,5.0,6.0,4.0,Detached Duplex,Lekki,Lagos,100000000.0
4.0,4.0,5.0,4.0,Semi Detached Duplex,Ajah,Lagos,45000000.0
9.0,9.0,1.0,8.0,Detached Duplex,Lekki,Lagos,250000000.0
5.0,5.0,6.0,5.0,Detached Duplex,Ajah,Lagos,120000000.0
4.0,4.0,5.0,4.0,Detached Duplex,Lekki,Lagos,65000000.0
3.0,5.0,5.0,4.0,Detached Duplex,Gwarinpa,Abuja,80000000.0
5.0,5.0,5.0,4.0,Detached Duplex,Lekki,Lagos,200000000.0
5.0,6.0,6.0,7.0,Detached Duplex,Apo,Abuja,85000000.0
5.0,5.0,5.0,4.0,Detached Duplex,Isolo,Lagos,50000000.0
4.0,4.0,5.0,4.0,Terraced Duplexes,Galadimawa,Abuja,43000000.0
4.0,5.0,5.0,4.0,Terraced Duplexes,Life Camp,Abuja,45000000.0
4.0,4.0,5.0,4.0,Detached Duplex,Lekki,Lagos,90000000.0
4.0,4.0,5.0,1.0,Detached Duplex,Ibeju Lekki,Lagos,43000000.0
5.0,5.0,6.0,4.0,Detached Duplex,Ikeja,Lagos,150000000.0
4.0,4.0,5.0,4.0,Semi Detached Duplex,Ajah,Lagos,72000000.0
4.0,5.0,5.0,4.0,Detached Duplex,Lekki,Lagos,70000000.0
4.0,6.0,6.0,4.0,Detached Duplex,Ajah,Lagos,65000000.0
4.0,4.0,5.0,2.0,Terraced Duplexes,Lekki,Lagos,45000000.0
4.0,4.0,5.0,2.0,Terraced Duplexes,Lekki,Lagos,46000000.0
4.0,6.0,6.0,4.0,Semi Detached Duplex,Wuse 2,Abuja,170000000.0
5.0,5.0,6.0,7.0,Detached Duplex,Lekki,Lagos,195000000.0
5.0,5.0,6.0,5.0,Detached Duplex,Lekki,Lagos,250000000.0
2.0,5.0,5.0,4.0,Block of Flats,Owerri West,Imo,60000000.0
4.0,4.0,5.0,4.0,Detached Duplex,Mowe Town,Ogun,35000000.0
4.0,5.0,5.0,4.0,Terraced Duplexes,Wuse 2,Abuja,190000000.0
5.0,5.0,5.0,4.0,Detached Duplex,Durumi,Abuja,130000000.0
7.0,7.0,8.0,7.0,Detached Duplex,Lekki,Lagos,240000000.0
4.0,5.0,5.0,4.0,Detached Duplex,Ikeja,Lagos,55000000.0
5.0,5.0,6.0,3.0,Detached Duplex,Lekki,Lagos,80000000.0
4.0,4.0,5.0,2.0,Terraced Duplexes,Lekki,Lagos,58000000.0
4.0,4.0,5.0,4.0,Detached Duplex,Ajah,Lagos,65000000.0
5.0,5.0,6.0,1.0,Detached Duplex,Gwarinpa,Abuja,85000000.0
3.0,3.0,4.0,4.0,Detached Duplex,Simawa,Ogun,35000000.0
4.0,4.0,5.0,4.0,Detached Duplex,Arepo,Ogun,80000000.0
4.0,4.0,5.0,4.0,Terraced Duplexes,Mabushi,Abuja,75000000.0
5.0,5.0,6.0,3.0,Detached Duplex,Lekki,Lagos,85000000.0
4.0,4.0,5.0,4.0,Semi Detached Duplex,Lekki,Lagos,65000000.0
5.0,5.0,6.0,5.0,Detached Duplex,Ikeja,Lagos,130000000.0
4.0,5.0,5.0,7.0,Block of Flats,Port Harcourt,Rivers,60000000.0
4.0,5.0,5.0,4.0,Detached Duplex,Port Harcourt,Rivers,60000000.0
3.0,3.0,4.0,4.0,Terraced Duplexes,Lokogoma District,Abuja,35000000.0
4.0,5.0,5.0,6.0,Semi Detached Duplex,Ajah,Lagos,39000000.0
5.0,5.0,6.0,4.0,Terraced Duplexes,Lekki,Lagos,77000000.0
3.0,4.0,5.0,2.0,Terraced Duplexes,Ajah,Lagos,65000000.0
4.0,4.0,4.0,4.0,Semi Detached Duplex,Ikoyi,Lagos,230000000.0
3.0,3.0,4.0,1.0,Terraced Bungalow,Ajah,Lagos,40000000.0
4.0,4.0,5.0,4.0,Semi Detached Duplex,Lekki,Lagos,65000000.0
5.0,5.0,6.0,4.0,Detached Duplex,Lekki,Lagos,198000000.0
1.0,1.0,1.0,1.0,Semi Detached Duplex,Katampe,Abuja,200000000.0
5.0,1.0,1.0,1.0,Block of Flats,Alimosho,Lagos,55000000.0
5.0,5.0,6.0,5.0,Detached Duplex,Ajah,Lagos,65000000.0
4.0,5.0,5.0,4.0,Semi Detached Duplex,Ibadan,Oyo,45000000.0
4.0,4.0,5.0,4.0,Terraced Duplexes,Lekki,Lagos,105000000.0
5.0,6.0,6.0,1.0,Detached Duplex,Port Harcourt,Rivers,100000000.0
3.0,3.0,3.0,9.0,Block of Flats,Owerri Municipal,Imo,65000000.0
4.0,4.0,5.0,4.0,Detached Duplex,Lekki,Lagos,75000000.0
4.0,4.0,5.0,1.0,Detached Duplex,Port Harcourt,Rivers,135000000.0
2.0,2.0,3.0,2.0,Terraced Duplexes,Lekki,Lagos,75000000.0
5.0,5.0,6.0,5.0,Detached Duplex,Lekki,Lagos,95000000.0
5.0,5.0,6.0,5.0,Detached Duplex,Lekki,Lagos,125000000.0
4.0,4.0,5.0,4.0,Terraced Duplexes,Ikeja,Lagos,80000000.0
4.0,6.0,6.0,9.0,Terraced Duplexes,Guzape District,Abuja,130000000.0
5.0,5.0,5.0,4.0,Detached Duplex,Ojodu,Lagos,60000000.0
3.0,3.0,4.0,2.0,Terraced Duplexes,Ajah,Lagos,38000000.0
4.0,5.0,5.0,4.0,Terraced Duplexes,Lekki,Lagos,70000000.0
3.0,4.0,4.0,4.0,Detached Duplex,Ikeja,Lagos,130000000.0
5.0,5.0,5.0,4.0,Detached Duplex,Lekki,Lagos,115000000.0
5.0,5.0,6.0,4.0,Detached Duplex,Port Harcourt,Rivers,65000000.0
4.0,5.0,5.0,4.0,Terraced Duplexes,Life Camp,Abuja,35000000.0
3.0,4.0,4.0,4.0,Terraced Duplexes,Ajah,Lagos,40000000.0
4.0,5.0,6.0,4.0,Detached Duplex,Ajah,Lagos,75000000.0
4.0,4.0,5.0,4.0,Detached Duplex,Ajah,Lagos,70000000.0
5.0,5.0,5.0,4.0,Detached Duplex,Lekki,Lagos,50000000.0
5.0,5.0,5.0,4.0,Detached Duplex,Lekki,Lagos,160000000.0
5.0,5.0,5.0,4.0,Detached Duplex,Lekki,Lagos,150000000.0
5.0,6.0,6.0,4.0,Detached Duplex,Victoria Island (VI),Lagos,170000000.0
4.0,4.0,5.0,3.0,Detached Duplex,Lekki,Lagos,90000000.0
4.0,4.0,5.0,3.0,Semi Detached Duplex,Ajah,Lagos,45000000.0
5.0,5.0,5.0,4.0,Detached Duplex,Ikeja,Lagos,200000000.0
5.0,5.0,6.0,3.0,Detached Duplex,Lekki,Lagos,115000000.0
4.0,5.0,6.0,6.0,Detached Duplex,Lekki,Lagos,110000000.0
4.0,4.0,5.0,4.0,Terraced Duplexes,Wuse 2,Abuja,200000000.0
